figure_label,caption,png,pdf,png_sha256,pdf_sha256
1,Track density and the three genesis regions; this track-only reference is common to both datasets.,figures/paper/fig_01_track_density.png,figures/paper/fig_01_track_density.pdf,51953bd665cf52d481530ddd0de82940a54ac0f6aff14a24041b28a865d09137,2b8e8a872851ab97cbcd7e24d6e12f7045d10f8f97a4e204077e5831b9e70d07
2,Reference four-box Lorenz Energy Cycle diagram; this conceptual panel is common to both datasets.,figures/paper/fig_02_lec_reference.png,figures/paper/fig_02_lec_reference.pdf,9731129c97602e6e5eea08365a21afda20acfa9d3d0c85dd5ef78efc9d676bef,c3947962edac94f2b3af6163128c27d7d6a164f8e0b59bbc1cf7532c7900a8a2
3,LEC term distributions from the full published legacy archive (upper half) and corrected rerun (lower half).,figures/paper/fig_03_term_pdfs_published_corrected.png,figures/paper/fig_03_term_pdfs_published_corrected.pdf,b908890936aa908d65b4998a43dbeba0009d121537cb585a331805dfdb7eaf03,424567abb6131c342736945f8a6dbbc1acbd36625e03561d339cc049e3e3a9f5
4,Primary-phase mean LEC. Dark arrows and values show the published legacy population; red shows the corrected population.,figures/paper/fig_04_phase_mean_lec_published_corrected.png,figures/paper/fig_04_phase_mean_lec_published_corrected.pdf,ebfc51eb1e18d8e8e89f33e74be34fdf23be083e3eaa127b2f369bfe99eb3e3c,e78105e8062971c67cda40ddf8a2bea96dbd8df879098803795e26f2be7c5b79
5,"EOF 1 LEC loadings fitted independently to the published and corrected populations, then pattern-matched and sign-aligned.",figures/paper/fig_05_eof1_lec_published_corrected.png,figures/paper/fig_05_eof1_lec_published_corrected.pdf,645e63321b595b50dd216005ab56f5267bd4e76c4b441f2185b6240d1e518a47,f7d1ecd063952a00036deeb4871d9a6acda11a62cddd0b4730afa80d7a40c48b
6,"EOF 2 LEC loadings fitted independently to the published and corrected populations, then pattern-matched and sign-aligned.",figures/paper/fig_06_eof2_lec_published_corrected.png,figures/paper/fig_06_eof2_lec_published_corrected.pdf,6d2c78b683a0a977ee2e87db6bd4919455c58bebffa428f888c0a066c627d0d6,d55d10f83656444adde399e903481f4a746c7f3518ff0ecb6ce8e9574be10fc0
7,"EOF 3 LEC loadings fitted independently to the published and corrected populations, then pattern-matched and sign-aligned.",figures/paper/fig_07_eof3_lec_published_corrected.png,figures/paper/fig_07_eof3_lec_published_corrected.pdf,b0164344693000fa2008ae22281d998e7fc187ff29c27f38ddd352da3a04e73d,7edb413dac87e706b91beae0c38b08c3770a9575ecc477f6c7c3d37878e742dd
8,"EOF 4 LEC loadings fitted independently to the published and corrected populations, then pattern-matched and sign-aligned.",figures/paper/fig_08_eof4_lec_published_corrected.png,figures/paper/fig_08_eof4_lec_published_corrected.pdf,9656de4a0aea9124256b9fd8f1087b7d8c9edfb723d794c524a3f3c9e187ba5c,b077c54f865e385c8d6e4d3e5c3c5a576e2f85436a71bebd522e0f8e9f9a1963
9,Positive total-lifecycle PC-extreme track densities: published population above and corrected population below.,figures/paper/fig_09_eof_positive_density_published_corrected.png,figures/paper/fig_09_eof_positive_density_published_corrected.pdf,5dea4351fc5032403e4828d678f4dcc8f206e952fe6f7ed267248ec2313fec6d,b7141c77953f32f96cf777afd8f9637c777a63be907f34292c2c25b02cd77dc5
10,Negative total-lifecycle PC-extreme track densities: published population above and corrected population below.,figures/paper/fig_10_eof_negative_density_published_corrected.png,figures/paper/fig_10_eof_negative_density_published_corrected.pdf,7a609e7024bed1a7fe8014c0812b59420067a12429efc1eef558b60b59a405c8,5957bb7fea9ea322801626f9571b3eec7784e6e0aaa01ea46f867b81dfb6120c
11,"Genesis-region and seasonal composition of total-lifecycle PC extremes, published above and corrected below.",figures/paper/fig_11_eof_genesis_season_published_corrected.png,figures/paper/fig_11_eof_genesis_season_published_corrected.pdf,d369853abf1b961895bc13d444f5a0fb756c5d2c9db152eb08924033cb70a8da,903ff735aa4465d7c8292e97cbaad75e61c2a6996bfcaa4a5d8f9771a1519d7f
12a,Mean LEC of all intense cyclones in the published and corrected populations.,figures/paper/fig_12a_all_intense_lec_published_corrected.png,figures/paper/fig_12a_all_intense_lec_published_corrected.pdf,f11612b2d2249d17f97bafe9d29fc5ceacadc958d1a24bddee4f07d7d19c2455,f06bacebf532ff30ad63e17e86aec2d524158bbc0c3ae199c51c0e8516dd1737
12b,Five intense-cyclone groups obtained from the first eight total-lifecycle PCs; corrected groups are centroid-matched to published groups.,figures/paper/fig_12b_five_intense_clusters_lec_published_corrected.png,figures/paper/fig_12b_five_intense_clusters_lec_published_corrected.pdf,b975841e19c912ecc558cd261f141e39822a2f983fdb456823dbd647c04c93b9,c0920dce5d911a5aa7b9f29654e87112a80e2b46dcde2dd788eab19f7abc63fe
13,"Track densities of the five intense-cyclone PC groups, published above and corrected below.",figures/paper/fig_13_five_intense_groups_density_published_corrected.png,figures/paper/fig_13_five_intense_groups_density_published_corrected.pdf,e35436ba0c567f6fb963a0911c56a2774b8450362c46a149a2ba49809e8ca6da,69fb1fa65e545d3391a5733b70c7df0f91c455ced4e4caf6b90018b0fe3bf428
14,"Counts, maximum intensity, seasonality and genesis regions for the five intense-cyclone PC groups.",figures/paper/fig_14_five_intense_groups_characteristics_published_corrected.png,figures/paper/fig_14_five_intense_groups_characteristics_published_corrected.pdf,17222b846450569310a73264cf36dac2f2358c33b07b22533a0aa0e5dd0327e7,d9874b19e2a808552279b64f4bc286ca9b212f7b4b76f7caa959a4ab280f136e
15,"Primary-phase LEC synthesis, with the published population on the left and corrected population on the right.",figures/paper/fig_15_phase_synthesis_published_corrected.png,figures/paper/fig_15_phase_synthesis_published_corrected.pdf,d949aa71ad944c610c151c73845298bf0bd49c56cec05afe23af603524d93612,4fd85268065dcb13e458885f8f3ce4407e39aa1d4330ae71bc924837e1f5a968
